date,Negative_News_Raw,Positive_News_Raw,News_Sentiment_Normalized,Negative_News_Normalized,Positive_News_Normalized,News_Intensity_Normalized,News_Sentiment_Change,News_Shock_Indicator,Dominant_Tone
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-20,4.846172112494884e-07,0.0,-4.655720005246184e-08,4.655720005246184e-08,0.0,4.655720005246184e-08,-4.655720005246184e-08,1.5519066684153947e-08,0
2020-01-21,4.846172112494884e-07,0.0,-9.311440010492368e-08,9.311440010492368e-08,0.0,9.311440010492368e-08,-4.655720005246184e-08,3.1038133368307894e-08,0
2020-01-22,4.846172112494884e-07,0.0,-1.3967160015738554e-07,1.3967160015738554e-07,0.0,1.3967160015738554e-07,-4.6557200052461855e-08,4.655720005246185e-08,0
2020-01-23,4.846172112494884e-07,0.0,-1.8622880020984737e-07,1.8622880020984737e-07,0.0,1.8622880020984737e-07,-4.655720005246183e-08,4.6557200052461835e-08,0
2020-01-24,4.846172112494884e-07,0.0,-2.327860002623092e-07,2.327860002623092e-07,0.0,2.327860002623092e-07,-4.655720005246183e-08,4.6557200052461835e-08,0
2020-01-25,2.9077032674969307e-06,0.0,-5.121292005770802e-07,5.121292005770802e-07,0.0,5.121292005770802e-07,-2.79343200314771e-07,1.2415253347323155e-07,0
2020-01-26,3.39232047874642e-06,0.0,-8.380296009443131e-07,8.380296009443131e-07,0.0,8.380296009443131e-07,-3.259004003672328e-07,2.172669335781552e-07,0
2020-01-27,2.9077032674969307e-06,0.0,-1.0708156012066224e-06,1.0708156012066224e-06,0.0,1.0708156012066224e-06,-2.3278600026230933e-07,2.793432003147711e-07,0
2020-01-28,3.39232047874642e-06,0.0,-1.3501588015213934e-06,1.3501588015213934e-06,0.0,1.3501588015213934e-06,-2.79343200314771e-07,2.793432003147711e-07,0
2020-01-29,3.39232047874642e-06,0.0,-1.6295020018361646e-06,1.6295020018361646e-06,0.0,1.6295020018361646e-06,-2.7934320031477123e-07,2.638241336306172e-07,0
2020-01-30,3.39232047874642e-06,0.0,-1.908845202150936e-06,1.908845202150936e-06,0.0,1.908845202150936e-06,-2.7934320031477123e-07,2.793432003147712e-07,0
2020-01-31,3.39232047874642e-06,0.0,-2.188188402465707e-06,2.188188402465707e-06,0.0,2.188188402465707e-06,-2.79343200314771e-07,2.793432003147712e-07,0
2020-02-01,9.692344224989768e-07,0.0,-2.0019596022558593e-06,2.0019596022558593e-06,0.0,2.0019596022558593e-06,1.8622880020984763e-07,2.483050669464633e-07,0
2020-02-02,0.016680969584301764,0.0,-0.0016042176528093695,0.0016042176528093695,0.0,0.0016042176528093695,-0.0016022156932071136,0.0005342270884025461,0
